X,Y,OBJECTID,Asset_ID,Asset_Grou,Community,Address,Location,Short_ID,Asset_Clas,Asset_Cl00
130.890955026294563,-12.390535041769562,160,PlayEquip 180,Exercise Equipment,Anula,"59 Yanyula Dr, Anula",Yanyula Park,Yanyula Park,57,Playgrounds
130.893998981738321,-12.393145968638731,161,PlayEquip 182,Playground Equipment,Anula,"74 Yanyula Dr, Anula",McMillans Road Green,McMillans Road Greenbelt,57,Playgrounds
130.893892036593599,-12.393497974239736,162,PlayEquip 183,Playground Equipment,Anula,"74 Yanyula Dr, Anula",McMillans Road Green,McMillans Road Greenbelt,57,Playgrounds
130.875132020875981,-12.390833006830883,163,PlayEquip 184,Playground Equipment,Jingili,"23 Borella Crct, Jingili",Borella Park,Borella Park,57,Playgrounds
130.895612966670257,-12.361855982289407,164,PlayEquip 186,Playground Equipment,Muirhead,"6 Raby St, Muirhead",William Foster Park,William Forster Park,57,Playgrounds
130.895468963901806,-12.362051004862098,165,PlayEquip 187,Playground Equipment,Muirhead,"6 Raby St, Muirhead",William Foster Park,William Forster Park,57,Playgrounds
130.875045031167502,-12.390691999042275,166,PlayEquip 188,Playground Equipment,Jingili,"23 Borella Crct, Jingili",Borella Park,Borella Park,57,Playgrounds
130.875186004743284,-12.390641955329427,167,PlayEquip 189,Playground Equipment,Jingili,"23 Borella Crct, Jingili",Borella Park,Borella Park,57,Playgrounds
130.875271027956984,-12.390529040576958,168,PlayEquip 190,Playground Equipment,Jingili,"23 Borella Crct, Jingili",Borella Park,Borella Park,57,Playgrounds
130.871461995195205,-12.388672032302336,169,PlayEquip 191,Playground Equipment,Jingili,"29 Gaden Crct, Jingili",Gaden Park,Gaden Park,57,Playgrounds
130.871210945294479,-12.388596857979731,170,PlayEquip 192,Playground Equipment,Jingili,"29 Gaden Crct, Jingili",Gaden Park,Gaden Park,57,Playgrounds
130.867214963640436,-12.385968956793302,171,PlayEquip 193,Playground Equipment,Jingili,"91 Freshwater Rd, Jingili",Water Gardens,Rapid Creek Water Gardens,57,Playgrounds
130.901473023261019,-12.391619741694523,172,PlayEquip 195,Playground Equipment,Malak,"13 Malak Cres, Malak",Malak Greenbelt,Malak Greenbelt,57,Playgrounds
130.916087931338382,-12.399458151146598,173,20150611103059,Exercise Equipment,Karama,"59 Koolinda Cres, Karama",Robyn Lesley Park,Robyn Lesley Park,57,Playgrounds
130.830114869330487,-12.413561745433299,174,20150625142926,Exercise Equipment,East Point,"Alec Fong Lim  Dr, East Point",East Point Reserve,East Point Foreshore,57,Playgrounds
130.903566977006676,-12.376661101432822,175,20160609101950ACA,Playground Equipment,Leanyer,"5 Parkside Cres, Leanyer",Parkside Park,Parkside Park,57,Playgrounds
130.921260066872776,-12.403445636753458,176,201606091044174D6,Playground Equipment,Karama,"1 Brazil Cres, Karama",Brazil Park,Brazil Park,57,Playgrounds
130.904663473720575,-12.395220111793874,177,20161019100745,Playground Equipment,Malak,"1 Holzerland St, Malak",Holzerland Park,Holzerland Park,57,Playgrounds
130.835555809380963,-12.4614608536261,178,20170727104107F27,Exercise Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.835225593343949,-12.461273868301113,179,2017072711075096B,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.835345757651538,-12.461343587377415,180,20170727105247C64,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.834613707429071,-12.461625929563279,181,20170727111932765,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.835201389971246,-12.461243374780864,182,20170727131112611,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.83524033905357,-12.461214874586341,183,20170727130532CA9,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.835260703277385,-12.461172946006192,184,20170727112442B80,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.835197146061859,-12.461189506765251,185,20170727125426BCC,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.835236943937332,-12.46132426863173,186,20170727131619BE3,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.835175834478548,-12.461316810094974,187,201707271322462A8,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.835206389211351,-12.461105481189389,188,201707271328465C5,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.854741035257263,-12.375600332107203,189,201707271443112C8,Playground Equipment,Rapid Creek,"315 Casuarina Dr, Nightcliff",NCFS2 - Opp 90 Aralia St,Nightcliff F/S2-Regional,57,Playgrounds
130.887186138821164,-12.367212010753484,190,2017073110163553E,Playground Equipment,Wanguri, , , ,57,Playgrounds
130.917416973363828,-12.397006843913291,191,20170731095040411,Playground Equipment,Karama, , , ,57,Playgrounds
130.903498480309565,-12.393829772414787,192,20170801102837EF6,Playground Equipment,Malak, , , ,57,Playgrounds
130.881967672597369,-12.385587095087173,193,2017080211230481B,Playground Equipment,Moil, , , ,57,Playgrounds
130.835444068712206,-12.461214850611951,194,20170803094052BE5,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.841608009148985,-12.381119273964368,195,20170803142749D67,Playground Equipment,Nightcliff, , , ,57,Playgrounds
130.83555547438101,-12.461367499974232,196,20170803100257F7E,Playground Equipment,Darwin City, , ,Bi Park-Regional,57,Playgrounds
130.891305042308289,-12.391274945736212,197,20170804121244B25,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.891407235770686,-12.390973823359642,198,20170804120240BE0,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.89133069303918,-12.390955179262818,199,20170804112834862,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.891372024909373,-12.39129893407504,200,2017080412220055A,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.89147223978884,-12.391307148075654,201,201708091428544E9,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.891590135340692,-12.391402900888849,202,20170809143454028,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.85097516662097,-12.381876080069739,203,20170808124242246,Playground Equipment,Nightcliff, , , ,57,Playgrounds
130.842965422895645,-12.450986974803875,204,20170811144902BA8,Playground Equipment,Stuart Park, , , ,57,Playgrounds
130.842919767865112,-12.450995711155054,205,20170811143941EA6,Playground Equipment,Stuart Park, , , ,57,Playgrounds
130.891606297283033,-12.391268441767755,206,201708150959115F5,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.891528799769191,-12.3912232362529,207,2017081509482169C,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.891370350203658,-12.391125934658058,208,2017081509201519E,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.891432810616351,-12.391191502344576,209,2017081509285516D,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.891680565377214,-12.391295775083666,210,2017081510070363E,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.891553702943213,-12.391296333493695,211,2017081510243787A,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
130.89142620463187,-12.391261748667784,212,20170815101421465,Playground Equipment,Anula, , ,Yanyula Park,57,Playgrounds
